"participant_id","speaker_identity","trialid","itemid","itemtype","itemtype_coarser","msg","target","competitor","distractor","targetpos","layout","prob_target","prob_competitor","prob_distr"
24,"child",14,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",2,"tr_re,tr_bl,sq_gr",75,25,0
25,"child",2,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,tr_re,sq_gr",55,45,0
26,"adult",3,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",2,"sq_gr,tr_bl,tr_re",70,30,0
27,"child",7,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,sq_gr,tr_re",50,0,50
28,"child",10,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,tr_re,sq_gr",46,54,0
29,"child",18,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",2,"tr_re,tr_bl,sq_gr",75,25,0
30,"adult",0,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",2,"tr_re,tr_bl,sq_gr",50,50,0
31,"adult",13,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,sq_gr,tr_re",50,50,0
32,"adult",17,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",2,"sq_gr,tr_bl,tr_re",98,2,0
33,"adult",19,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",2,"sq_gr,tr_bl,tr_re",50,50,0
34,"child",23,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,tr_re,sq_gr",100,0,0
35,"adult",8,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,tr_re,sq_gr",50,50,0
36,"adult",12,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",2,"tr_re,tr_bl,sq_gr",100,0,0
37,"child",10,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",2,"tr_re,tr_bl,sq_gr",48,47,5
38,"adult",14,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,sq_gr,tr_re",50,50,0
39,"child",22,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,tr_re,sq_gr",50,50,0
40,"child",19,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,sq_gr,tr_re",50,50,0
41,"adult",8,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",3,"sq_gr,tr_re,tr_bl",95,5,0
42,"adult",2,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,sq_gr,tr_re",75,25,0
43,"child",2,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,sq_gr,tr_re",50,50,0
44,"adult",6,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,tr_re,sq_gr",75,25,0
45,"adult",13,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",3,"sq_gr,tr_re,tr_bl",50,50,0
46,"adult",11,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",3,"tr_re,sq_gr,tr_bl",50,50,0
47,"child",17,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",2,"sq_gr,tr_bl,tr_re",50,50,0
48,"adult",12,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,sq_gr,tr_re",50,50,0
49,"child",3,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",3,"sq_gr,tr_re,tr_bl",50,50,0
50,"adult",17,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",3,"tr_re,sq_gr,tr_bl",100,0,0
51,"adult",23,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,tr_re,sq_gr",50,50,0
52,"adult",23,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",2,"sq_gr,tr_bl,tr_re",100,0,0
53,"child",16,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",2,"tr_re,tr_bl,sq_gr",50,50,0
54,"adult",10,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",3,"tr_re,sq_gr,tr_bl",50,50,0
55,"child",18,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",3,"sq_gr,tr_re,tr_bl",49,51,0
56,"child",23,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",2,"tr_re,tr_bl,sq_gr",50,50,0
57,"child",14,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,tr_re,sq_gr",73,27,0
58,"adult",12,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,tr_re,sq_gr",48,47,5
59,"child",9,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,sq_gr,tr_re",50,50,0
60,"child",6,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",2,"sq_gr,tr_bl,tr_re",50,50,0
61,"child",9,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",3,"tr_re,sq_gr,tr_bl",0,100,0
62,"adult",16,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",2,"sq_gr,tr_bl,tr_re",100,0,0
63,"child",17,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,sq_gr,tr_re",50,50,0
64,"child",18,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",2,"tr_re,tr_bl,sq_gr",80,20,0
65,"adult",9,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,tr_re,sq_gr",100,0,0
66,"child",1,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",2,"tr_re,tr_bl,sq_gr",50,50,0
67,"child",4,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",3,"tr_re,sq_gr,tr_bl",50,50,0
68,"adult",9,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",3,"sq_gr,tr_re,tr_bl",100,0,0
69,"adult",21,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",3,"sq_gr,tr_re,tr_bl",100,0,0
70,"adult",14,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,sq_gr,tr_re",50,50,0
71,"adult",3,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,tr_re,sq_gr",100,0,0
72,"child",1,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",2,"sq_gr,tr_bl,tr_re",50,50,0
1,"adult",17,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",2,"tr_gr,tr_bl,ci_re",87,11,2
2,"child",17,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",2,"tr_gr,tr_bl,ci_re",50,50,0
3,"adult",15,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"tr_gr,ci_re,tr_bl",100,0,0
4,"child",3,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",1,"tr_bl,tr_gr,ci_re",50,50,0
5,"child",8,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"ci_re,tr_gr,tr_bl",75,25,0
6,"child",20,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"tr_gr,ci_re,tr_bl",50,50,0
7,"child",20,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",1,"tr_bl,tr_gr,ci_re",100,0,0
8,"child",23,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",2,"ci_re,tr_bl,tr_gr",51,49,0
9,"adult",21,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",1,"tr_bl,ci_re,tr_gr",100,0,0
10,"child",11,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",2,"tr_gr,tr_bl,ci_re",50,50,0
11,"child",10,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",1,"tr_bl,tr_gr,ci_re",50,50,0
12,"child",15,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",1,"tr_bl,ci_re,tr_gr",50,50,0
13,"child",13,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",2,"tr_gr,tr_bl,ci_re",51,49,0
14,"adult",13,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",2,"tr_gr,tr_bl,ci_re",100,0,0
15,"adult",20,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",2,"tr_gr,tr_bl,ci_re",50,50,0
16,"child",16,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",2,"ci_re,tr_bl,tr_gr",50,50,0
17,"adult",23,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"ci_re,tr_gr,tr_bl",50,50,0
18,"adult",5,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",2,"tr_gr,tr_bl,ci_re",50,50,0
19,"child",22,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"tr_gr,ci_re,tr_bl",50,50,0
20,"child",6,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"ci_re,tr_gr,tr_bl",79,21,0
21,"child",1,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",1,"tr_bl,tr_gr,ci_re",50,50,0
22,"child",17,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"ci_re,tr_gr,tr_bl",75,25,0
23,"adult",7,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",1,"tr_bl,tr_gr,ci_re",50,50,0
24,"child",1,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",1,"tr_bl,tr_gr,ci_re",80,20,0
25,"child",5,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"ci_re,tr_gr,tr_bl",28,72,0
26,"adult",11,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",2,"ci_re,tr_bl,tr_gr",70,30,0
27,"child",14,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"ci_re,tr_gr,tr_bl",20,80,0
28,"child",14,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"tr_gr,ci_re,tr_bl",52,48,0
29,"child",3,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",1,"tr_bl,ci_re,tr_gr",75,25,0
30,"adult",22,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"ci_re,tr_gr,tr_bl",50,50,0
31,"adult",6,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",2,"tr_gr,tr_bl,ci_re",50,50,0
32,"adult",23,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"ci_re,tr_gr,tr_bl",98,2,0
33,"adult",21,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"ci_re,tr_gr,tr_bl",50,50,0
34,"child",9,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"ci_re,tr_gr,tr_bl",100,0,0
35,"adult",20,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"tr_gr,ci_re,tr_bl",50,50,0
36,"adult",4,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",2,"tr_gr,tr_bl,ci_re",100,0,0
37,"child",14,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"tr_gr,ci_re,tr_bl",48,48,4
38,"adult",15,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",2,"ci_re,tr_bl,tr_gr",50,50,0
39,"child",0,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"tr_gr,ci_re,tr_bl",50,50,0
40,"child",16,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",2,"tr_gr,tr_bl,ci_re",50,50,0
41,"adult",19,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"tr_gr,ci_re,tr_bl",95,5,0
42,"adult",15,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"tr_gr,ci_re,tr_bl",75,25,0
43,"child",0,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",1,"tr_bl,ci_re,tr_gr",50,50,0
44,"adult",8,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",1,"tr_bl,tr_gr,ci_re",75,25,0
45,"adult",20,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"ci_re,tr_gr,tr_bl",100,0,0
46,"adult",2,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"ci_re,tr_gr,tr_bl",50,50,0
47,"child",3,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",1,"tr_bl,ci_re,tr_gr",50,50,0
48,"adult",4,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",2,"tr_gr,tr_bl,ci_re",50,50,0
49,"child",20,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"tr_gr,ci_re,tr_bl",50,50,0
50,"adult",15,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"tr_gr,ci_re,tr_bl",100,0,0
51,"adult",4,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",1,"tr_bl,tr_gr,ci_re",50,50,0
52,"adult",16,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",2,"ci_re,tr_bl,tr_gr",100,0,0
53,"child",3,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"tr_gr,ci_re,tr_bl",50,50,0
54,"adult",22,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",1,"tr_bl,tr_gr,ci_re",50,50,0
55,"child",7,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"tr_gr,ci_re,tr_bl",47,53,0
56,"child",18,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"tr_gr,ci_re,tr_bl",50,50,0
57,"child",6,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"ci_re,tr_gr,tr_bl",79,21,0
58,"adult",3,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",2,"ci_re,tr_bl,tr_gr",44,46,10
59,"child",11,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"tr_gr,ci_re,tr_bl",49,51,0
60,"child",9,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",2,"tr_gr,tr_bl,ci_re",100,0,0
61,"child",12,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",1,"tr_bl,ci_re,tr_gr",50,50,0
62,"adult",9,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"ci_re,tr_gr,tr_bl",50,50,0
63,"child",10,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"tr_gr,ci_re,tr_bl",50,50,0
64,"child",17,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",1,"tr_bl,tr_gr,ci_re",80,20,0
65,"adult",13,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",1,"tr_bl,tr_gr,ci_re",100,0,0
66,"child",0,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",1,"tr_bl,tr_gr,ci_re",50,50,0
67,"child",15,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",2,"tr_gr,tr_bl,ci_re",50,50,0
68,"adult",23,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",1,"tr_bl,ci_re,tr_gr",75,25,0
69,"adult",17,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",2,"tr_gr,tr_bl,ci_re",100,0,0
70,"adult",9,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",2,"ci_re,tr_bl,tr_gr",50,50,0
71,"adult",2,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",2,"tr_gr,tr_bl,ci_re",100,0,0
72,"child",10,2,"critical","critical","tr","tr_bl","tr_gr","ci_re",3,"tr_gr,ci_re,tr_bl",50,50,0
1,"adult",1,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"ci_re,tr_gr,ci_bl",85,13,2
2,"child",0,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"tr_gr,ci_re,ci_bl",50,50,0
3,"adult",3,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"tr_gr,ci_re,ci_bl",100,0,0
4,"child",10,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"tr_gr,ci_re,ci_bl",50,50,0
5,"child",18,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"ci_re,tr_gr,ci_bl",75,25,0
6,"child",5,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",1,"ci_bl,tr_gr,ci_re",50,50,0
7,"child",1,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",1,"ci_bl,ci_re,tr_gr",50,50,0
8,"child",21,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",1,"ci_bl,ci_re,tr_gr",49,51,0
9,"adult",9,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",2,"tr_gr,ci_bl,ci_re",100,0,0
10,"child",16,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"ci_re,tr_gr,ci_bl",50,50,0
11,"child",23,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"ci_re,tr_gr,ci_bl",50,50,0
12,"child",1,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",2,"tr_gr,ci_bl,ci_re",50,50,0
13,"child",5,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",1,"ci_bl,tr_gr,ci_re",52,48,0
14,"adult",12,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",1,"ci_bl,tr_gr,ci_re",100,0,0
15,"adult",6,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",1,"ci_bl,tr_gr,ci_re",50,50,0
16,"child",7,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",1,"ci_bl,tr_gr,ci_re",50,50,0
17,"adult",19,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",2,"tr_gr,ci_bl,ci_re",50,50,0
18,"adult",19,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"ci_re,tr_gr,ci_bl",50,50,0
19,"child",12,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",2,"tr_gr,ci_bl,ci_re",50,50,0
20,"child",0,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",1,"ci_bl,tr_gr,ci_re",70,30,0
21,"child",0,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"tr_gr,ci_re,ci_bl",100,0,0
22,"child",13,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",2,"ci_re,ci_bl,tr_gr",75,25,0
23,"adult",23,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"tr_gr,ci_re,ci_bl",100,0,0
24,"child",0,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",2,"ci_re,ci_bl,tr_gr",76,24,0
25,"child",1,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"ci_re,tr_gr,ci_bl",50,50,0
26,"adult",0,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"ci_re,tr_gr,ci_bl",60,40,0
27,"child",0,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",2,"ci_re,ci_bl,tr_gr",50,50,0
28,"child",22,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"tr_gr,ci_re,ci_bl",100,0,0
29,"child",23,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"ci_re,tr_gr,ci_bl",75,25,0
30,"adult",2,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",2,"tr_gr,ci_bl,ci_re",50,50,0
31,"adult",14,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",2,"ci_re,ci_bl,tr_gr",50,50,0
32,"adult",10,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",1,"ci_bl,ci_re,tr_gr",98,2,0
33,"adult",3,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",2,"tr_gr,ci_bl,ci_re",25,25,50
34,"child",0,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",1,"ci_bl,tr_gr,ci_re",50,50,0
35,"adult",19,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",2,"tr_gr,ci_bl,ci_re",50,50,0
36,"adult",1,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"ci_re,tr_gr,ci_bl",100,0,0
37,"child",17,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"ci_re,tr_gr,ci_bl",45,39,16
38,"adult",13,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"ci_re,tr_gr,ci_bl",50,50,0
39,"child",8,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",1,"ci_bl,tr_gr,ci_re",50,50,0
40,"child",13,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",1,"ci_bl,ci_re,tr_gr",50,50,0
41,"adult",21,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"ci_re,tr_gr,ci_bl",95,5,0
42,"adult",7,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",1,"ci_bl,tr_gr,ci_re",75,25,0
43,"child",21,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",2,"tr_gr,ci_bl,ci_re",70,30,0
44,"adult",21,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",2,"tr_gr,ci_bl,ci_re",75,25,0
45,"adult",2,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",1,"ci_bl,ci_re,tr_gr",50,50,0
46,"adult",6,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",2,"tr_gr,ci_bl,ci_re",50,50,0
47,"child",20,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",1,"ci_bl,ci_re,tr_gr",50,50,0
48,"adult",1,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",1,"ci_bl,tr_gr,ci_re",100,0,0
49,"child",4,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",1,"ci_bl,tr_gr,ci_re",50,50,0
50,"adult",0,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"ci_re,tr_gr,ci_bl",50,50,0
51,"adult",14,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",1,"ci_bl,tr_gr,ci_re",50,50,0
52,"adult",14,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",2,"tr_gr,ci_bl,ci_re",100,0,0
53,"child",10,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"ci_re,tr_gr,ci_bl",50,50,0
54,"adult",13,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",1,"ci_bl,tr_gr,ci_re",50,50,0
55,"child",15,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"ci_re,tr_gr,ci_bl",58,42,0
56,"child",4,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",2,"ci_re,ci_bl,tr_gr",35,56,9
57,"child",8,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",2,"ci_re,ci_bl,tr_gr",67,33,0
58,"adult",13,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",1,"ci_bl,tr_gr,ci_re",49,49,2
59,"child",6,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",1,"ci_bl,ci_re,tr_gr",48,52,0
60,"child",5,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",2,"tr_gr,ci_bl,ci_re",50,50,0
61,"child",5,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"tr_gr,ci_re,ci_bl",48,52,0
62,"adult",18,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",2,"ci_re,ci_bl,tr_gr",100,0,0
63,"child",8,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"ci_re,tr_gr,ci_bl",50,50,0
64,"child",0,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",1,"ci_bl,ci_re,tr_gr",50,50,0
65,"adult",15,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"tr_gr,ci_re,ci_bl",100,0,0
66,"child",6,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"ci_re,tr_gr,ci_bl",50,50,0
67,"child",3,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"ci_re,tr_gr,ci_bl",50,50,0
68,"adult",5,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",1,"ci_bl,ci_re,tr_gr",100,0,0
69,"adult",4,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",2,"ci_re,ci_bl,tr_gr",100,0,0
70,"adult",2,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",1,"ci_bl,tr_gr,ci_re",50,50,0
71,"adult",20,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"ci_re,tr_gr,ci_bl",100,0,0
72,"child",2,3,"critical","critical","ci","ci_bl","ci_re","tr_gr",3,"ci_re,tr_gr,ci_bl",50,50,0
1,"adult",6,4,"critical","critical","ci","ci_bl","ci_gr","sq_re",2,"sq_re,ci_bl,ci_gr",85,13,2
2,"child",5,4,"critical","critical","ci","ci_bl","ci_gr","sq_re",1,"ci_bl,sq_re,ci_gr",50,50,0
3,"adult",23,4,"critical","critical","ci","ci_bl","ci_gr","sq_re",3,"sq_re,ci_gr,ci_bl",100,0,0
4,"child",14,4,"critical","critical","ci","ci_bl","ci_gr","sq_re",2,"ci_gr,ci_bl,sq_re",50,50,0
5,"child",11,4,"critical","critical","ci","ci_bl","ci_gr","sq_re",1,"ci_bl,ci_gr,sq_re",75,25,0
